År,Tävling,Språk,ISO-kod,Glottokod
2018,Kval,Hawaiiska,haw,hawa1245
2018,Kval,Georgiska,kat,nucl1302
2018,Kval,Dyirbal,dbl,dyir1250
2018,Kval,Mongoliska,mon,mong1331
2018,Kval,Bislama,bis,bisl1239
2018,Kval,Proto-Bantu,-,-
2018,Kval,Ndengereko,ndg,nden1248
2018,Kval,Swahili,swh,swah1253
2018,Kval,Tamil,tam,tami1289
2018,Kval,Huehuetla tepehua,tee,hueh1238
2018,Kval,Nahuatl,nhe,east2538
2018,Final,Oksapmin,opm,oksa1245
2018,Final,Högvalyriska,-,-
2018,Final,Matsés,mcf,mats1244
2018,Final,Māori,mri,maor1248
2019,Kval,Svanetiska,sva,svan1243
2019,Kval,Nen,nqn,nenn1238
2019,Kval,Akoye,miw,akoy1238
2019,Kval,Quechua,quz,cusc1236
2019,Kval,Achumawi,acv,achu1247
2019,Final,Indonesiska,ind,indo1316
2019,Final,Urgermanska,-,-
2019,Final,Tiriyó,tri,trio1238
2019,Final,Manchuriska,mnc,manc1252
2020,Kval,Malagassiska,plt,plat1254
2020,Kval,Bierebo,bnk,bier1244
2020,Kval,Cherokesiska,chr,cher1273
2021,Kval,Dyirbal,dbl,dyir1250
2021,Kval,Navajo,nav,nava1243
2021,Kval,Nordpame,pmq,nort2984
2021,Kval,Centralpame,pbs,cent2145
2021,Kval,Dothrakiska,-,-
2021,Kval,Melins stenografi,-,-
2021,Final,Thai,tha,thai1261
2021,Final,Nahuatl,nhe,east2538
2021,Final,Iñupiaq,esi,nort2943
2022,Kval,Nama,naq,nama1264
2022,Kval,Jiddisch,ydd,east2295
2022,Kval,Karolinatitans läten,-,-
2022,Kval,Ainu,ain,ainu1240
2022,Final,Lettiska,lav,latv1249
2022,Final,Ndebele,nde,nort2795
2022,Final,Urslaviska,-,-
2022,Final,Polska,pol,poli1260
2022,Final,Tjeckiska,ces,czec1258
2022,Final,Ryska,rus,russ1263
2022,Final,Māori,mri,maor1246
2023,Kval,Kinesiska,cmn,mand1415
2023,Kval,Gotiska,got,goth1244
2023,Kval,Latin,lat,lati1261
2023,Kval,Forngrekiska,ell,mode1248
2023,Kval,Opao,opo,opao1240
2023,Kval,Nuosu,iii,sich1238
2023,Kval,Bretonska,bre,bret1244
2023,Final,Sanskrit,cls,clas1258
2023,Final,Gwandara,gwn,gwan1268
2023,Final,Tibetanska,bod,tibe1272
2023,Final,Jakaltek,jac,popt1235
2024,Kval,Chichewa,nya,nyan1308
2024,Kval,Maldiviska,div,dhiv1236
2024,Kval,Georgiska,kat,nucl1302
2024,Kval,Tonganska,ton,tong1325
2024,Kval,Baskiska,eus,basq1248
2024,Final,Kalkoti,xka,kalk1245
2024,Final,Kashmiri,kas,kash1277
2024,Final,Batak Toba,bbc,bata1289
2024,Final,Nuntajɨyi,poi,high1276
2024,Final,Yawalapití,yaw,yawa1261
2025,Kval,Evenki,evn,even1259
2025,Kval,Fur,fvr,furr1244
2025,Kval,Karajá,kpj,kara1500
2025,Kval,Kokborok,trp,kokb1239
2025,Kval,Nuxalk,blc,bell1243
2025,Final,Yaka,yaf,yaka1269
2025,Final,Kharia,khr,khar1287
2025,Final,Fornmalajiska,omy,oldm1243
2025,Final,Tamashek,taq,tama1365
2025,Final,Persiska,pes,west2369
2026,Kval,Estniska,ekk,esto1258
2026,Kval,Somaliska,som,soma1255
2026,Kval,Huli,hui,huli1244
2026,Kval,Khana,ogo,khan1278
2026,Kval,Palauiska,pau,pala1344
2026,Final,Iriska,gle,iris1253
2026,Final,Ngiti,niy,ngit1239
2026,Final,Maltesiska,mlt,malt1254
2026,Final,Hmong daw,mww,hmon1333
2026,Final,Wari',pav,wari1268
